,Feature,Importance
12,Bwd Packet Length Std,0.07470831036387292
11,Bwd Packet Length Mean,0.061405090590238784
41,Packet Length Variance,0.04921298763764205
38,Max Packet Length,0.047452965414289845
3,Total Length of Fwd Packets,0.04684742940097922
51,Average Packet Size,0.0460064903828677
40,Packet Length Std,0.044501905747933654
65,Init_Win_bytes_forward,0.044426850705105235
53,Avg Bwd Segment Size,0.043190076289793794
4,Total Length of Bwd Packets,0.03816481122146255
39,Packet Length Mean,0.0342415107210077
9,Bwd Packet Length Max,0.033933983833662466
64,Subflow Bwd Bytes,0.029322408156443394
21,Fwd IAT Std,0.02302688956340468
62,Subflow Fwd Bytes,0.02224226029329118
33,Fwd Header Length,0.019544239231675288
54,Fwd Header Length.1,0.017343339644009113
52,Avg Fwd Segment Size,0.01659025749049146
66,Init_Win_bytes_backward,0.01603101182392579
7,Fwd Packet Length Mean,0.016016220367430292
1,Total Fwd Packets,0.015703170945090827
45,PSH Flag Count,0.014823858478895963
2,Total Backward Packets,0.014671938293194076
68,min_seg_size_forward,0.013241533314074709
67,act_data_pkt_fwd,0.013039227848728314
61,Subflow Fwd Packets,0.012819305767286899
5,Fwd Packet Length Max,0.01253643901893547
20,Fwd IAT Mean,0.012503421034619001
63,Subflow Bwd Packets,0.011888469955693983
36,Bwd Packets/s,0.011559904839110261
23,Fwd IAT Min,0.010919476661912097
34,Bwd Header Length,0.010377536712759107
10,Bwd Packet Length Min,0.009841380196141492
22,Fwd IAT Max,0.008782345249224994
15,Flow IAT Mean,0.008029160078042302
16,Flow IAT Std,0.007904282707744396
47,URG Flag Count,0.007375178755281066
18,Flow IAT Min,0.006718277394632453
76,Idle Min,0.006565641967224036
46,ACK Flag Count,0.006526945102378252
0,Flow Duration,0.006392875208337804
75,Idle Max,0.006172631532267967
35,Fwd Packets/s,0.006094654389901721
17,Flow IAT Max,0.005752180236585457
37,Min Packet Length,0.0053489507447816225
19,Fwd IAT Total,0.005135766735232922
73,Idle Mean,0.004855599105336519
8,Fwd Packet Length Std,0.003918717876042633
69,Active Mean,0.0018462260982191692
25,Bwd IAT Mean,0.0017657732624815933
28,Bwd IAT Min,0.0016635704101406418
72,Active Min,0.0015942021901240722
24,Bwd IAT Total,0.001413311733674452
6,Fwd Packet Length Min,0.0014096091867266917
26,Bwd IAT Std,0.001186716262498206
27,Bwd IAT Max,0.0010539859792807838
71,Active Max,0.000982627704343757
42,FIN Flag Count,0.0009078955306576279
50,Down/Up Ratio,0.0006481130774199482
43,SYN Flag Count,0.0005620709905805503
70,Active Std,0.0005157623265015725
29,Fwd PSH Flags,0.000422344191688084
74,Idle Std,0.0002705989609693068
48,CWE Flag Count,3.166912034634849e-05
31,Fwd URG Flags,1.7233457548035195e-05
49,ECE Flag Count,2.681412152130923e-07
44,RST Flag Count,1.1234660062962517e-07
14,Flow Packets/s,0.0
13,Flow Bytes/s,0.0
32,Bwd URG Flags,0.0
30,Bwd PSH Flags,0.0
60,Bwd Avg Bulk Rate,0.0
59,Bwd Avg Packets/Bulk,0.0
56,Fwd Avg Packets/Bulk,0.0
55,Fwd Avg Bytes/Bulk,0.0
58,Bwd Avg Bytes/Bulk,0.0
57,Fwd Avg Bulk Rate,0.0
